test_id,height_um,line_id,center_nm,relative_strength,role,status,applied_center_nm,area,area_sigma,snr,area_fraction,height,center_height,peak_offset_nm,centroid_offset_nm,fwhm_nm,top_flatness,noise,line_relative
1350,36100.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7909056486259,325.8182283836531,5.605349463653999,58.12630068763985,0.009143247313014588,680.518519849199,677.3628661182998,0.009094351339058449,0.025323204775414724,0.3999999999996362,0.07698033961630915,21.709425122424356,0.6484794272492251
1351,36200.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7706660912711,14.952008890554826,1.2012078562645072,12.447478438121685,0.00030243828229241355,29.096192371469556,27.951613859648457,0.06266724209626773,0.11585318551989432,0.46666666666624224,0.04360359341693049,4.65225802265018,0.43244329075899546
1351,36200.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3841800912712,450.1525921904905,1.6983958998799658,265.0457365225064,0.009105356861951238,908.140836491295,899.2714420739235,0.01581990869681249,0.03686818678638838,0.4333333333329392,0.06789449015963903,6.577859035508049,0.4523046561341812
1351,36200.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7907200912712,304.8282268768592,3.9117942634170277,77.92542407651723,0.006165842062140351,731.63123385572,728.5637615769839,0.009279908693770267,0.03703540137379755,0.3666666666663332,0.09830190200945735,15.150314036017637,0.4373087145170582
1352,36300.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,low_snr,693.7709304922412,15.42983925398315,3.461374619142353,4.457720111730149,0.00034592840842079405,30.25376346089888,29.646864436407782,0.029069507792883087,0.14515096714672276,0.3999999999996362,0.07775567069515699,13.405846254935566,0.4946279226644796
1352,36300.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3844444922412,444.4319588021331,1.9529818596791881,227.56584071658452,0.009963917162654176,863.3687522264108,850.3117104785995,0.04888884106014757,0.025727852959286524,0.4333333333329392,0.08416842954486584,7.563866217989564,0.4949532669978178
1352,36300.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7909844922411,308.4144480560534,0.9496431305536737,324.7687874878192,0.00691448027382831,716.1375636025901,713.946570516133,0.00901550772380233,0.0439988758384498,0.3666666666663332,0.10020004702177197,3.677952029477999,0.4904054384830893
1353,36400.0,K_I_693.8764,693.876396,0.00655092165605007,weak_anchor,detected,693.7711841522618,10.690870206621339,1.768184554812344,6.046241144638859,0.0002394496238766331,27.437603988586375,17.263829817813896,0.12881584777221633,0.09117838685765184,0.26666666666642413,0.17713993780728188,6.848149333815612,0.3423785591405351
1353,36400.0,K_I_766.4899,766.48991,1.0,strong_resonance,detected,766.3846981522618,403.310321974026,1.2999405820674683,310.25288966099356,0.009033175320230959,773.3849947206509,763.5664255044026,0.04863518103957176,0.0353492884578918,0.4333333333329392,0.07891626479383579,5.034648225411059,0.4487190693304994
1353,36400.0,K_I_769.8964,769.89645,0.4984931955549362,weak_resonance,detected,769.7912381522617,261.2995299395489,1.1336859352550885,230.48669989961056,0.005852477202876786,621.8442666731758,620.0926896210585,0.008761847703226522,0.04284782522612824,0.3666666666663332,0.10645925580658955,4.390746747076531,0.4150834965503497
