file,segment,ok,error,exact,relres,relres_full,delta_px,stretch_ppm,c0,c1,c2,c3,n_ref,windows_used,windows_total,on_model_lo,on_model_hi,n_native,pitch_start,pitch_end,max_window_relres,seconds
"1064-Test #1064 10 44, Mar 25 2024.03.25.10.44.csv",VIS,1,,1,6.045670688648506e-11,0.0001709681313894099,1.7162243080847033,61.60189450436951,0.05720747693615678,7.958632684878323e-06,-4.4116783376905445e-10,-4.0002128819170906e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294449645,0.0001644524158474308,36.18116617202759
"1064-Test #1064 10 44, Mar 25 2024.03.25.10.44.csv",NIR,1,,1,6.264648147253709e-11,0.0002868560681734184,2.023982069844647,303.19287575913086,0.06746606899482158,5.442529461979151e-05,-3.442784644319709e-09,-2.717124129498884e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550792357,0.15628102874370597,0.0011857006514434665,36.181180477142334
"1072-Test #1072 10 45, Mar 25 2024.03.25.10.45.csv",UV,1,,1,5.7413247518949366e-11,0.00045786932881916365,0.43809311758138786,126.21441359003803,0.014603103919379596,1.1200163158063845e-05,-5.474830287462266e-10,-6.205058120449557e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416125319,0.07869545169245384,0.0009480984493578884,36.49816298484802
"1072-Test #1072 10 45, Mar 25 2024.03.25.10.45.csv",VIS,1,,1,5.88937942023581e-11,2.3696861085908385e-05,1.7162243080845332,61.60189450460855,0.05720747693615111,7.958632684909206e-06,-4.411678337518719e-10,-4.000212884868388e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294438276,0.0002998824055737572,36.498186349868774
"1072-Test #1072 10 45, Mar 25 2024.03.25.10.45.csv",NIR,1,,1,6.662687395257958e-11,3.430604651000522e-05,2.0239820698444735,303.1928757591041,0.06746606899481578,5.442529461978671e-05,-3.4427846442975775e-09,-2.717124129610219e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550803726,0.15628102874370597,0.0011219937941992198,36.49819779396057
"1080-Test #1080 10 46, Mar 25 2024.03.25.10.46.csv",UV,1,,1,5.937036681816773e-11,0.00033785496334626057,0.4380931175813988,126.21441359008756,0.01460310391937996,1.120016315806824e-05,-5.474830287498994e-10,-6.205058120878442e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0006401928220366797,35.28990149497986
"1080-Test #1080 10 46, Mar 25 2024.03.25.10.46.csv",VIS,1,,1,5.963260672904805e-11,0.00018839068448129774,1.71622430808477,61.60189450440133,0.057207476936159,7.958632684882435e-06,-4.411678337781184e-10,-4.000212883219368e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294449645,0.00024030037922601353,35.28992462158203
"1080-Test #1080 10 46, Mar 25 2024.03.25.10.46.csv",NIR,1,,1,6.520419752429166e-11,0.00021031480560625382,2.0239820698446493,303.19287575888677,0.06746606899482165,5.4425294619747694e-05,-3.442784644383475e-09,-2.717124128315672e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550803726,0.15628102874370597,0.0010273987617747692,35.289937257766724
"1085-Test #1085 10 46, Mar 25 2024.03.25.10.46.csv",UV,1,,1,6.239280560894978e-11,0.00029189748451262246,0.4380931175813801,126.21441359003376,0.014603103919379336,1.1200163158063465e-05,-5.474830287523276e-10,-6.205058120534017e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0007261275535037301,35.1792778968811
"1085-Test #1085 10 46, Mar 25 2024.03.25.10.46.csv",VIS,1,,1,6.010527434314171e-11,0.00018174912695259504,1.7162243080841495,61.60189450431907,0.05720747693613831,7.958632684871806e-06,-4.4116783374467733e-10,-4.000212881886432e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294438276,0.0002457885358747486,35.17930197715759
"1085-Test #1085 10 46, Mar 25 2024.03.25.10.46.csv",NIR,1,,1,6.316265783202238e-11,4.413780117887109e-05,2.0239820698445583,303.19287575914063,0.0674660689948186,5.442529461979327e-05,-3.442784644312099e-09,-2.7171241294746406e-13,866.5810912660887,13,13,623.0333333334336,943.9999999998047,1921,0.19835203550792357,0.15628102874370597,0.0010371638809725029,35.17931604385376
"1092-Test #1092 10 47, Mar 25 2024.03.25.10.47.csv",UV,1,,1,6.240597639217284e-11,0.001226622883482296,0.43809311758147274,126.2144135901028,0.014603103919382424,1.1200163158069591e-05,-5.474830287430735e-10,-6.205058120690585e-14,919.5663461700353,13,13,195.4999999999994,358.9333333334137,2091,0.09599423416128161,0.07869545169245384,0.0006202174662600838,34.39680218696594
"1092-Test #1092 10 47, Mar 25 2024.03.25.10.47.csv",VIS,1,,1,6.048761812800019e-11,0.0001126346571345814,1.7162243080848472,61.60189450425163,0.05720747693616157,7.958632684863095e-06,-4.411678337725249e-10,-4.000212880279246e-14,935.662048746658,13,13,368.0000000000832,616.6000000001025,1986,0.14168222136987652,0.11292126294438276,0.00038336251446520546,34.39682459831238
